Q,A
什么是误码率，什么是误信率，它们之间关系如何？,误码率，是指错误接收的码元数在传送总码元数中所占的比例；误信率，又称误比特率，是指错误接收的信息量在传送信息总量中所占的比例；二者之间的关系：它们都是表示差错率的。
奈奎斯特带宽和奈奎斯特速率,频域为理想低通特性的信道，系统带宽称为奈奎斯特带宽，带宽为B的理想低通滤波器，可以传输码元速率为2B的脉冲序列，无码间串扰的最高码元速率称为奈奎斯特速率
奈奎斯特第一准则,抽样点无失真准则，或无码间串扰准则。奈奎斯特第一准则规定理想低通信道的带宽为f_N时，则该系统无码间干扰的最高传输速率为2f_N
奈奎斯特第二准则,转换点无失真准则，或无抖动准则 。人为地、有规律地在某些码元的抽样时刻引入码间干扰，并在接收端判决前加以消除，从而可以改善频谱特性，压缩传输频带，就能使频带利用率达到理论上的最大值，并加速传输波形尾巴的衰减和降低对定时精度的要求。通常把满足奈奎斯特第二准则的波形称为部分响应波形。利用部分响应波形进行传送的基带传输系统称为部分响应系统。
简述随参信道传输特性,信号的传输损耗随时间而变、信号的传输时延随时间而变、多径传播
多径效应,信号经过几条路径到达接收端，而且每条路径的长度和衰减都随时间而变。在随参信道当中进行信号的传输过程中，由于多径传播的影响，会使信号的包络产生起伏，即瑞利型衰落；会使信号由单一频率变成窄带信号，即频率弥散现象；还会使信号的某些频率成分消失，即频率选择性衰落。这种由于多径传播对信号的影响称为多径效应。
什么是调制？调制在通信系统中的作用是什么？,调制，是指按调制信号的变化规律去控制高频载波的某个参数的过程。作用：将基带信号变换成适合在信道中传输的已调信号；实现信道的多路复用；改善系统抗噪声性能。
简述数字调制与模拟调制之间的异同点？,数字调制与模拟调制就调制原理而言完全一样，因为数字信号可以看作是模拟信号的特殊情况；然而由于数字信号具有开关特性，因此数字信号的调制可以利用其开关特性来实现，即键控方式，这样可以使调制实现起来简单。
什么是带通调制？目的是什么？,用调制信号去调制一个载波，使载波的某个(些)参数随基带信号的变化规律去变化的过程称为带通调制。调制的目的是实现信号的频谱搬移，使信号适合信道的传输特性。
简述常见码型是否可以作为传输码,"NRZ码含有直流且低频丰富,不易时钟提取,无检测差错能力,不适合；RZ码含有直流且低频丰富,可以时钟提取,无检测差错能力,不适合；AMI码无直流、低频少，虽无时钟但易提取，有检测差错能力，适合；HDB3码无直流、低频少，虽无时钟但易提取，有检测差错能力，弥补了AMI码受长串连0的影响但电路略比AMI码复杂，可以作为传输码。"
什么是码间串扰,码间串扰是由于系统传输总特性不理想，导致前后码元的波形畸变、展宽，并使前面波形出现很长的拖尾，蔓延到当前码元的抽样时刻上，从而对当前码元的判决造成干扰。码间串扰严重时，会造成错误判决。
什么是时域均衡,均衡：在基带系统中传入一种可调（或不可调）滤波器就可以补偿整个系统的幅频和相频特征，从而减小码间干扰的影响。均衡分为频域均衡和时域均衡。频域均衡是从频率响应考虑，使包括均衡器在内的整个系统的总传输函数满足无失真传输条件。而时域均衡，则是直接从时间响应考虑，使包括均衡器在内的整个系统的冲激响应满足无码间串扰条件。 频域均衡在信道特性不变，且传输低速率数据时是适用的，而时域均衡可以根据信道特性的变化进行调整，能够有效地减小码间串扰，故在高速数据传输中得以广泛应用。 借助横向滤波器实现均衡是可能的，并且只要用无限长的横向滤波器，就能做到消除码间串扰的影响。
时域均衡中横向滤波器的抽头级数与什么因素有关？,抽头级数与输入信号码间串扰个数有关，若有2N个码间串扰值，则抽头级数应该为2N+1。
什么是眼图,产生：利用示波器余晖效应，信号加在示波器的垂直输入端上，示波器水平扫描周期与码元同步的周期同步。在示波器上就可以观测到眼图。眼图作用：定性观测码间干扰和噪声对系统的影响。衡量传输质量的指标（眼图参数）：最佳判决门限，最佳抽样时刻，噪声容限，定时误差灵敏度等。
什么是部分响应,有控制的在某些码元的抽样时刻引入码间干扰，而在其余码元的抽样时刻无码间干扰，那么就能使频带利用率提高到理论上的最大值，同时又可以降低对定时精度的要求，通常把这种波形称为部分响应波形。利用部分响应波形进行的基带传输系统称为部分响应系统。优点：频带利用率高，在理论上可达到2dB/Hz；时域衰减快，可以放宽对定时信号相位抖动的要求，系统的频率特性不是理想矩形，易于实现缺点：抗噪声能力比非部分响应系统差。
升余弦滚降信号的时域和频域衰减速度有何特点,升余弦滚降信号的时域衰减速度快，频域衰减速度慢。
简述为什么实际的数字调相不能采用绝对调相而采用相对调相。,数字调相系统多采用直接法载波同步方式，因此存在载波相位模糊现象。对于绝对调相的基带码元与载波相位间关系是固定的，因此载波相位模糊使得解调出的基带信号出现不确定，从而无法实现正常传输；而相对调相是利用载波相位的变化来表示基带码元，因此载波相位模糊不会影响载波相位的变化，故对相对调相解调出的基带信号不会产生影响。
常用的数字键控方式用哪些？,ASK（幅度键控）：用基带数字信号对载波信号的幅度进行控制的方式。FSK（移频键控）：用基带数字信号对载波信号的频率进行控制的方式。2PSK（绝对移相键控）：用基带数字信号对载波的相位进行控制方式。2DPSK（相对移相键控）：2DPSK信号的产生方法和绝对移相一样，只需将输入码序列先变换为相对码序列，然后用此相对码去进行绝对移相，便可以获得 2DPSK信号。
多进制数字调制系统和二进制数字调制系统的比较。,与二进制数字调制系统比较，多进制调制系统具有以下两个特点：在相同的码元传输速率下，多进制系统的信息传输速率显然要比二进制系统的高。在相同的信息传输速率下，由于多进制码元传输速率比二进制的低，因而多进制信号的码元的持续时间要比二进制的长，相应的带宽就窄。
简述倒π现象。如何解决？,恢复的本地载波与所需的相干载波可能反相，解调出的数字基带信号与发送的数字基带信号正好相反，输出数字信号全部出错。
什么是绝对移相？什么是相对移相？他们有何区别？,绝对移相是用载波的相位直接表示码元，相对移相是用相邻码元的相对载波相位值表示数字信息。相对移相信号可以看做是把数字信息序列绝对码变换成相对码，然后根据相对码进行绝对移相而成。
数字信号的最佳接收准则是什么？其物理含义是什么？,使接收的误码率最小，在接收判决时的信噪比最大。
模拟信号数字化传输的三个基本环节,模/数变换(A/D)，数字方式传输(基带传输/带通传输)，数/模变换(D/A)
什么叫抽样、量化和编码？,抽样 ：将时间上连续的信号处理成时间上离散的信号，量化：对时间上离散的信号处理，使其在幅度上也离散，编码：将量化后的信号样值幅度变换成对应的二进制数字信号码组过程
量化的目的,因为模拟信号是时间和幅度都连续变化的，而数字信号时间和幅度都是离散的，为了将模拟信号转化为数字信号，需要对其进行幅度上的量化
简要回答均匀量化与非均匀量化的特点,均匀量化特点，在量化区内，大、小信号的量化间隔相同，最大量化误差均为半个量化级，因而小信号时量化信噪比太小，不能满足要求。非均匀量化特点：量化级大小随信号大小而变，信号幅度小时量化级小，量化误差也小，信号幅度大时量化级大，量化误差也大，因此增大了小信号的量化信噪比。
简述理想抽样和实际抽样,理想抽样：可看做是m(t)与单位冲击序列δ(t)相乘，自然抽样：抽样后的脉冲顶部和源模拟信号波形是相同的，平顶抽样：每个样值脉冲的顶部是平坦的
什么是信源编码？什么是信道编码？各自在通信系统中的作用？,"信源编码是为了减少信源输出符号序列中的冗余度、提高符号的平均信息量而进行的编码,为了提高通信系统的有效性，信源编码是完成A/D转换。信道编码是通过增加冗余比特从而实现差错控制而进行的编码，是为了提高通信系统的可靠性，信道编码是将信源编码器输出的机内码转换成适合于在信道上传输的线路码，完成码型变换。"
说明码率、码重何码距的概念,码率：数据传输时单位时间传送的数据位数，一般我们用的单位是kbps。码重：就是码字中所含码元“1”的数目码距：两个码组对应位上数字的不同位的个数称为码组的距离，简称码距，又称海明距离。最小码距：某种编码中各个码组之间距离的最小值，记为d_0
模拟调制的主要方式有哪些，他们各有什么优点和缺点,AM调制：优点是接收设备简单，缺点是功率利用率低，抗干扰能力差，信号带宽较宽，频带利用率不高。因此，AM制式用于通信质量要求不高的场合，目前主要用在中波和短波的调幅广播中。DSB调制：优点是功率利用率高，但带宽与AM相同，频带利用率不高，接收要求同步解调，设备较复杂。只用于点对点的专用通信及低带宽信号多路复用系统。SSB调制：优点是功率利用率和频带利用率都较高，抗干扰能力和抗选择性衰落能力均优于AM，而带宽只有AM的一半，缺点是发送和接收设备都复杂。SSB制式普遍用在频带比较拥挤的场合，如短波波段的无线电广播和频分多路复用系统中。VSB调制：性能与SSB相当，而VSB调制中的边带滤波器比SSB中的边带滤波器容易实现，所以VSB调制在广播电视、通信等系统中得到广泛应用。FM：FM波的幅度恒定不变，这使得它对非线性器件不甚敏感，给FM带来了抗快衰落能力。FM对微波中继系统颇具吸引力。FM的抗干扰能力强，可以实现带宽与信噪比的互换，因而FM广泛应用于长距离高质量的通信系统中，如空间和卫星通信、调频立体声广播、短波电台等。
香农信息论,香农信息论的伟大贡献就在于，可以用数学公式严格定义信息的量，反映了信息表达形式在统计方面的性质。信息熵不仅定量衡量了信息的大小，同时为信息编码提供了理论上的最优值：实用的编码平均码长的理论下界就是信息熵。即信息熵为数据压缩的极限。
信息论最初解答的是通信理论中的两个基本问题：,1）临界数据压缩的值？（答案：信息熵H）2）临界通信速率的值？（答案：信道容量C）香农的理论在信息与不确定性、信息与熵、以及信息与混沌这些概念之间架起了桥梁。
试用香农公式来解释调频方式与调幅方式性能上的优劣关系。,香农公式表示在信道容量一定的情况下，信道带宽越宽（有效性下降），则要求信道提供的信噪比可以越小（可靠性提高），即可以提高抗干扰能力。对于调幅方式，其占用的频带要比调频方式占用的频带小，而抗干扰能力则要比调频方式的差，这正好符合香农公式所反映的两者间关系。根据香农公式，在信道容量一定时，可靠性和有效性之间可以彼此互换。
如何评价模拟通信系统和数字通信系统的有效性和可靠性？,①有效性：指传输一定信息量时所占用的信道资源（频带宽度和时间间隔），或者说是传输的“速度”问题。②可靠性：指接收信息的准确程度，也就是传输的“质量”问题。③对于模拟通信系统：有效性用带宽来衡量，可靠性用信噪比来衡量。④对于数字通信系统：有效性用传输速率或频带利用率来衡量，可靠性用误码率来衡量。模拟通信系统：已调信号带宽越小，有效性越好，解调器输出信噪比越高，可靠性越好。数字通信系统：频带利用率越高，有效性越好，误码率越小，可靠性越高。
复用和多址,复用的对象是资源，多址的对象是用户。复用这个词通常用在传输上，将一个物理信道根据时间、频率、空间等资源划分为多个虚拟信道。这么做的好处有二：一是减少管道的个数，为运营商减少线路成本，二是提升单通道的容量。从作用上看都是针对传输而言的，与具体用户无关。多址则应用在接入中，特别是移动通信。我们知道在同一个基站下，不同的用户利用相同的资源（同一时间，同一频率）发出通信请求肯定会发生冲突。而多址技术正是用来解决这个问题：如何划分资源块，使更多的用户终端（如手机）能够在不发生冲突的情况下获得服务。频分复用（FDM）：利用不同频段传送不同信号。（同时不同频）时分复用（TDM）：利用不同时隙传送不同信号。（同频不同时）码分复用（CDM）：利用不同正交码传送不同信号。（同频同时）空分复用(SDM)：多对电线或光纤共用一条缆的空间复用方式。多址技术分为频分多址（FDMA）、时分多址（TDMA）、码分多址（CDMA）、空分多址(SDMA)。频分多址是以不同的频率信道实现通信。时分多址是以不同的时隙实现通信。码分多址是以不同的代码序列来实现通信的。空分多址是以不同的方位信息实现多址通信的。TACS模拟通信采用的是频分多址技术，GSM数字通信采用的是频分复用和时分复用相结合的多址技术，CDMA采用码分多址技术。正交编码不仅可以用作纠错编码，还可用来实现码分多址通信。沃尔什码。伪随机序列在误码率测量、时延测量、扩频通信、通信加密及分离多径等方面有十分广泛的应用。m序列
适述复用和复接的异同点,复用的目的是为了扩大通信链路的容量，在一条链路上传输多路独立的信号，实现多路通信，在复用的过程中将低次群合并成高次群的过程成为复接。
电话信道特性不理想时，会产生哪种影响？如何去解决？,电话信道属于恒参信道，如果信道特性不理想的话，会导致信号发生幅度畸变，相位畸变，从而导致码间干扰。解决方法：采用均衡技术。
恒参和随参信道知识点总结,从乘性干扰角度，信道分为恒参信道和随参信道：①恒参信道：a.常见类型：明线，对称电缆，同轴电缆，光纤信道，无线电视中继，卫星中继。b.恒参信道对信号的影响：幅频畸变，相频畸变。c 信道不理想时会导致：码间干扰。d.解决方案：均衡②随参信道： 大多数无线信道都属于随参信道a.常见类型：电离层信道，对流层信道，移动通信。b.随参信道的特点：信道参数随时间变化，损耗时变，时延时变，多径传播。c.随参信道对信号的影响：瑞利型衰落，多径传播引起的频率弥散，频率选择性衰落。d.解决方案：分集
均衡和分集的知识点总结,均衡：在基带系统中传入一种可调（或不可调）滤波器就可以补偿整个系统的幅频和相频特征，从而减小码间干扰的影响。这个对系统校正的过程称为均衡，实现均衡的滤波器称为均衡器。均衡分为频域均衡和时域均衡。频域均衡是从频率响应考虑，使包括均衡器在内的整个系统的总传输函数满足无失真传输条件。而时域均衡，则是直接从时间响应考虑，使包括均衡器在内的整个系统的冲激响应满足无码间串扰条件。 频域均衡在信道特性不变，且传输低速率数据时是适用的，而时域均衡可以根据信道特性的变化进行调整，能够有效地减小码间串扰，故在高速数据传输中得以广泛应用。 借助横向滤波器实现均衡是可能的，并且只要用无限长的横向滤波器，就能做到消除码间串扰的影响。分集：补偿信道衰落影响。分集类型：时间分集，空间分集，角度分集，极化分集，频率分集等。在接收端的合并技术有：选择方式，最大比合并方式，等增益合并方式等。
时域均衡中横向滤波器的抽头级数与什么因素有关？,抽头级数与输入信号码间串扰个数有关，若有2N个码间串扰值，则抽头级数应该为2N+1。
比较预加重去加重技术和压扩技术的异同？FM调制系统采用的是何种技术？为什么？PSTN中采用的是何种技术？为什么？,相同：改善系统信噪比，提高通信质量。区别：a.预加重去加重技术改善高频信号的信噪比。b.压扩技术改善小信号信噪比。FM调制系统中采用预加重去加重技术，原因是FM调制系统，解调器输出端的噪声呈平方率分布，高频分量受到的噪声影响大，低频分量受到的噪声影响小，预加重去加重技术的目的就是为了提升高频信号的信噪比。PSTN系统中的PCM编码时采用的是压扩技术。使用压扩技术的原因是信号幅度的概率分布不均匀，所以采用压扩技术进行非均匀量化，PCM中压扩技术目的是为了提升小信号的信噪比。
简述基带系统中选择线路码型的要求？（或者这样问：数字基带信号传输前要进行线路码型变换，为什么？在数字基带传输系统中，传输码的结构应具备哪些基本特性？）,①易于时钟提取②无直流、高频和低频分量要少③尽可能提高传输码的传输效率④具有一定的检错能力⑤设备简单。
根据传输码应具备的特性，简述NRZ、RZ、AMI、HDB3、可否作为传输码？,"NRZ码含有直流且低频丰富,不易时钟提取,无检测差错能力,不适合。RZ码含有直流且低频丰富,可以时钟提取,无检测差错能力,不适合。AMI码无直流、低频少，虽无时钟但易提取，有检测差错能力，适合。HDB3码无直流、低频少，虽无时钟但易提取，有检测差错能力，弥补了AMI码受长串连0的影响但电路略比AMI码复杂，可以作为传输码。"
简述眼图的产生过程？眼图的作用？眼图中衡量传输质量的指标？（至少写出三个）,①眼图产生：信号加在示波器的垂直输入端上，示波器水平扫描周期与码元同步的周期同步。在示波器上就可以观测到眼图。②眼图作用：定性观测码间干扰和噪声对系统的影响。③衡量传输质量的指标（眼图参数）：最佳判决门限，最佳抽样时刻，噪声容限，定时误差灵敏度等。
多进制数字调制系统和二进制数字调制系统的比较。与二进制数字调制系统比较，多进制调制系统具有的特点：,①在相同的码元传输速率下，多进制系统的信息传输速率显然要比二进制系统的高。②在相同的信息传输速率下，由于多进制码元传输速率比二进制的低，因而多进制信号的码元的持续时间要比二进制的长，相应的带宽就窄。
公用电话通信网（PSTN）要点总结,300～3400HZ，8KHz采样频率，小信号，非均匀量化，压扩技术，A13折线编码（8位）。单路码速64Kbps，32路复用后，基群码速2.048Mbps，全双工 恒参信道。
什么是信源编码？什么是信道编码？各自在通信系统中的作用？并列举几种常见的信源编码和信道编码？,①信源编码是为了减少信源输出符号序列中的冗余度、提高符号的平均信息量而进行的编码。信道编码是通过增加冗余比特从而实现差错控制而进行的编码。②信源编码是为了提高通信系统的有效性。信道编码是为了提高通信系统的可靠性。信源编码是完成A/D转换。信道编码是将信源编码器输出的机内码转换成适合于在信道上传输的线路码，完成码型变换。③常见信源编码：PCM，霍夫曼编码等。常见信道编码：线性分组码，循环码，卷积码，CRC，BHC。
列举几种常见的差错控制方法，并分析说明其应用场合？,①nFEC前向纠错法：（单向，广播信道，实时）②ARQ反馈重发法：（非实时）③ HEC混合差错控制：（半实时）
什么是误码率，什么是误信率，它们之间关系如何？,所谓误码率，是指错误接收的码元数在传送总码元数中所占的比例，或者更确切起的说， 误码率即是码元在传输系统中被传错的概率。所谓误信率，又称误比特率，是指错误接收的信息量在传送信息总量中所占的比例，或者更确切地说，它是码元的信息量在传输系统中被丢失的概率。 二者之间的关系：它们都是表示差错率的。二进制系统中误码率P_e与误信率相等，但在多进制系统中，误码率P_e与误信率P_b，一般不相等，通常P_e>P_b。
信号量化的目的是什么？,因为模拟信号是时间和幅度都连续变化的，而数字信号时间和幅度都是离散的，为了将模拟信号转化为数字信号，需要对其进行幅度上的量化。
简要回答均匀量化与非均匀量化的特点。,均匀量化特点，在量化区内，大、小信号的量化间隔相同，最大量化误差均为半个量化级，因而小信号时量化信噪比太小，不能满足要求。非均匀量化特点：量化级大小随信号大小而变，信号幅度小时量化级小，量化误差也小，信号幅度大时量化级大，量化误差也大，因此增大了小信号的量化信噪比。
什么是码间串扰，怎样产生的，对通信质量有什么影响,码间串扰是由于系统传输总特性不理想，导致前后码元的波形畸变、展宽，并使前面波形出现很长的拖尾，蔓延到当前码元的抽样时刻上，从而对当前码元的判决造成干扰。码间串扰严重时，会造成错误判决。
什么是部分响应波形，什么是部分响应系统,有控制的在某些码元的抽样时刻引入码间干扰，而在其余码元的抽样时刻无码间干扰，那么就能使频带利用率提高到理论上的最大值，同时又可以降低对定时精度的要求，通常把这种波形称为部分响应波形。利用部分响应波形进行的基带传输系统称为部分响应系统。
部分响应系统的优点是什么呢？缺点是什么？（或采用部分响应技术会得到什么好处？需要付出什么代价？）,优点：频带利用率高，在理论上可达到2Bd/Hz，时域衰减快，可以放宽对定时信号相位抖动的要求，系统的频率特性不是理想矩形，易于实现。缺点：抗噪声能力比非部分响应系统差。
在数字基带传输系统中，是什么原因导致码间干扰？简述部分响应波形中是否存在码间干扰？,数字基带传输系统中由于传输特性的不理想，即频率特性失真，将引起脉冲信号的拖尾等现象，从而对后面的脉冲产生干扰，即码间干扰。部分响应波形是将当前的脉冲响应波形与该脉冲、延时一各码元周期后的响应波形进行叠加的结果，显然在后一位码的位置存在有一个幅度与当前码幅度相等的人为码间干扰，由于该码间干扰是已知的，因此可以消除，也即对于部分响应来讲可以实现无码间干扰传输。
部分响应技术具有什么特点？设有一数字码序列为1001010110001，若采用第一类部分响应传输，请写出相关编码后的数字序列？,特点：人为加入码间干扰，在收端可以消除，带来频谱利用率等于理想低通2B/s.Hz，相应波形的收敛加快从而减小定时抖动和漂移带来的影响。相关编码为：0+2+20-20+200+2+2+20
部分响应技术解决了什么问题？第Ⅳ类部分响应的特点是什么？,部分响应技术提高了频带利用率，降低了对定时精度的要求。第Ⅳ类部分响应的特点是无直流分量，其低频分量小，便于边带滤波实现单边带调制。
说明码率、码重和码距的概念,码率就是数据传输时单位时间传送的数据位数，一般我们用的单位是kbps。码重W就是码字中所含码元“1”的数目。两个码组对应位上数字的不同位的个数称为码组的距离，简称码距，又称海明（Hamming）距离。
试比较传输码AMI码和HDB3码之间的特点？,共同点：不含直流分量、高低频分量较少，易于提取位定时的信息，具有一定的检错能力。适合于用作传输码。不同点：AMI码受信源的统计特性影响较大，尤其是出现长串连0时严重影响时钟的提取，HDB3码解决了AMI码中长串连0的问题，最大连0数不超过3个。
数字通信有哪些特点?,与模拟通信相比，数字通信的优势主要有：抗干扰能力强，数字信号可以再生而消除噪声积累，传输差错可控，能改善传输质量。易于使用现代数字信号处理技术对数字信号进行处理。易于加密，可靠性高。易于实现各种信息的综台传输。但数字通信的缺点是：系统设备复杂，对同步要求高，比模拟通信占据更宽的系统频带等。
奈奎斯特第一准则,抽样点无失真准则，或无码间串扰准则。抽样值无失真。即如果信号经传输后整个波形发生了变化，但只要其特定点的抽样值保持不变，那么用再次抽样的方法仍然可以准确无误地恢复原始信码。奈奎斯特第一准则规定理想低通信道的带宽为f_N时，则该系统无码间干扰的最高传输速率为2f_N。
奈奎斯特第二准则,转换点无失真准则，或无抖动准则 。转换点无失真。有控制地在某些码元的抽样时刻引入码间干扰，而在其余码元的抽样时刻无码间干扰，就能使频带利用率达到理论上的最大值，同时又可降低对定时精度的要求。通常把满足奈奎斯特第二准则的波形称为部分响应波形。利用部分响应波形进行传送的基带传输系统称为部分响应系统。
奈奎斯特第三准则,波形面积无失真准则。脉冲波形面积保持不变。即如果在一个码元间隔内接收波形的面积正比于发送矩形脉冲的幅度，而其他码元间隔的发送脉冲在此码元间隔内的面积为零，则接收端也能无失真地恢复原始信码。奈奎斯特准则： 对于一个带宽为W（Hz）的无噪声低通信道，最高的码元传输速率Bmax:Bmax = 2W(band)如果编码方式的码元状态数为M，得出极限信息传输速率（信道容量）Cmax = 2Wlog2M (b/s)因为信道总是有噪声的，因此奈奎斯特准则给出的是理论上的上限。
什么是奈奎斯特速率？什么是奈奎斯特带宽？,奈奎斯特速率是能消除码间串扰的最大码速率，又称为等效带宽。当码速率等于它的两倍时无码间串扰。
什么是多径效应？,在随参信道当中进行信号的传输过程中，由于多径传播的影响，会使信号的包络产生起伏，即衰落。会使信号由单一频率变成窄带信号，即频率弥散现象。还会使信号的某些频率成分消失，即频率选择性衰落。这种由于多径传播对信号的影响称为多径效应。
什么是调制？调制在通信系统中的作用是什么？,所谓调制，是指按调制信号的变化规律去控制高频载波的某个参数的过程。作用是：将基带信号变换成适合在信道中传输的已调信号、实现信道的多路复用、改善系统抗噪声性能。
简述数字调制与模拟调制之间的异同点？,数字调制与模拟调制就调制原理而言完全一样，因为数字信号可以看作是模拟信号的特殊情况，然而由于数字信号具有开关特性，因此数字信号的调制可以利用其开关特性来实现，即键控方式，这样可以使调制实现起来简单。
什么叫抽样、量化和编码？,抽样 ：将时间上连续的信号处理成时间上离散的信号，抽样后的信号为PAM信号。量化：对时间上离散的信号处理，使其在幅度上也离散，8位二进制码表示28=256种状态。编码：将量化后的信号样值幅度变换成对应的二进制数字信号码组过程
